+-------------------+------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------------+
| N˙mero de Cidad„o |      Nome(s) PrÛprio(s) e Apelido(s)     |     Concelho de ResidÍncia     |                                       Profiss„o                                         |
|     32880211      | Faustina Dalva Neiva                     | Vila De Rei                    | Operador de M·quina de Preparar Massas ñ RebuÁados e Caramelos                         |
|     42871289      | Marina Ana°sa Bastos                     | Mour„o                         | Operadores de Equipamento de TeleinformaÁ„o e Trabalhadores Similares                  |
|     24113756      | Margarete Rebocho CalÁada                | Celorico Da Beira              | Montador de Gravuras                                                                   |
|     82390733      | Filomena èngela Fialho                   | Paredes                        | Raspador (Lixador)                                                                     |
|     79256998      | Natanael Abel Vergueiro MilheiriÁo       | Peso Da RÈgua                  | Outros Vendedores Ambulantes ñ Produtos N„o ComestÌveis                                |
|     31917707      | Belisa Souto                             | Vila Pouca De Aguiar           | Mestre Costeiro                                                                        |
|     34351210      | Manuelina Fabiana Rios                   | Bombarral                      | Lixador ñ CalÁado                                                                      |
|     46253234      | Adosinda Simas                           | Seia                           | Operador de M·quina de Revelar PelÌculas                                               |
|     34829421      | Carlota Beatriz Castel„o                 | PedrÛg„o Grande                | Motorista ñ Pesca do Largo                                                             |
|     34129808      | F†bio Silvana Rivero                     | MonÁ„o                         | Engenheiro TÈcnico de Energia e Sistemas de PotÍncia                                   |
|     79478855      | Edelina Bacelar                          | Estarreja                      | Operador de Rectificadora de "Poulies"                                                 |
|     84892180      | Vanda Nilson Valverde                    | Ponte De Lima                  | FÌsico ñ Especialista em FÌsica dos Plasmas                                            |
|     83542329      | D†rio Ivo Infante VilaÁa                 | Caminha                        | Educador Social                                                                        |
|     26634288      | Carla Calvino Abasto Ces·rio             | Alter Do Ch„o                  | Operador do Acabamento de Lixas                                                        |
|     73066959      | Loreta Adorinda Paulos Barata            | BraganÁa                       | Lixador ñ CalÁado                                                                      |
|     37295797      | Neandro Rodrigues                        | Vagos                          | Gomador de Fios (Operador de M·quina de Gomar Fios)                                    |
|     49457830      | Domingos PatrÌcio Mantas                 | MonÁ„o                         | Director e Gerente da Ind˙stria Extractiva                                             |
|     86356060      | Eut°mio Nolasco Soeiro                   | Paredes                        | Inspector Administrativo ñ Estabelecimentos Banc·rios                                  |
|     66407302      | Pedro Sardinha                           | Leiria                         | Recepcionistas e Trabalhadores Similares                                               |
|     13051526      | Dorisse Infante Telinhos                 | Alandroal                      | Condutor de Cilindro                                                                   |
|     87521115      | SimÑo Palhares                           | Azambuja                       | Director de EstaÁ„o de Radiodifus„o                                                    |
|     21197163      | Juliano Miguel Almeida                   | Avis                           | Operador de Rampa                                                                      |
|     47264024      | In†cio Telles Cangueiro                  | Alc·cer Do Sal                 | Radiotelegrafista (Operador Radiotelegrafista) ñ NavegaÁ„o AÈrea                       |
|     69396590      | Sheila Quinta                            | Penacova                       | Operadores de InstalaÁıes de ProduÁ„o de Energia                                       |
|     57371019      | Orlando Pic„o Almeida                    | Õlhavo                         | Enfermeiro ñ Especialista em Sa˙de Infantil e Pedi·trica                               |
|     90618148      | Karen Br·s                               | Cabeceiras De Basto            | Agentes de PolÌcia                                                                     |
|     30298750      | Delfim JosÇlia Lemes Avelar              | Alcoutim                       | Director e Gerente da Ind˙stria Alimentar                                              |
|     59943897      | Herc°lia Emanuela Carromeu Lancastre     | Vila Nova De Gaia              | Mestre de Tr·fego Local                                                                |
|     43922111      | D£nia Carmo Valverde                     | Seixal                         | Operador de InstalaÁ„o de MetalizaÁ„o de Fios Met·licos                                |
|     94858904      | Anacleto Olinda Falc„o                   | Vale De Cambra                 | Outros Fisioterapeutas e Profissionais Similares                                       |
|     16076002      | Samuel Aguiar                            | Caminha                        | Operadores de M·quinas para Fabricar Alimentos e Produtos Similares                    |
|     54149087      | Cleide Evandro Soverosa                  | Penamacor                      | Electromec‚nico de ElectrodomÈsticos                                                   |
|     43758437      | Jade Ciro Falc„o                         | Ansi„o                         | Operador de M·quina de Moldar (Fundidor-Moldador Mec‚nico)                             |
|     82268216      | Duarte Moutinho                          | Murtosa                        | Confeccionador de Tubos ñ Borracha                                                     |
|     96085035      | Omar Beltr„o                             | Batalha                        | Ferrador                                                                               |
|     24942519      | Em°dio Filipa Mariz                      | Arronches                      | Mestre de Redes ñ Pesca Local e Costeira                                               |
|     81814933      | CÉndido Samanta Faro                     | PovoaÁ„o                       | Operador de M·quina de Enrolar Folhas de Ch·                                           |
|     68139475      | Alana Waldemar Infante                   | Vouzela                        | Canteiro                                                                               |
|     30553395      | Mateus Carminda Cedraz                   | Carregal Do Sal                | Repassador                                                                             |
|     36800924      | Pl†cida Dione Guimar„es Cascais          | Caminha                        | Bibliotec·rio ñ Documentalista                                                         |
|     17626871      | Vit¢ria Ant¢nia Oleiro                   | Maia                           | Inspector das Actividades EconÛmicas                                                   |
|     53597715      | Elizeu Filomena Farias Guerra            | Porto Moniz                    | Operador de M·quina de Abrir Malha                                                     |
|     74826189      | Joyce Filipe Norıes                      | Ourique                        | Outros Directores e Gerentes da ConstruÁ„o Civil                                       |
|     78959178      | Diva Quirina Pacheco Campelo             | Barcelos                       | TÈcnico de An·lises ClÌnicas e de Sa˙de P˙blica                                        |
|     56233165      | Urraca M†rcio Sobral Gabeira             | Ponte De Sor                   | Engenheiro ElectrotÈcnicoñ AutomaÁ„o, Controlo, InstrumentaÁ„o                         |
|     55781803      | Cust¢dia CordÇlia Keil                   | Mora                           | Trabalhador Auxiliar ñ Minas                                                           |
|     56269938      | El¢i Cleusa Lobo Resende                 | Vouzela                        | Operadores de InstalaÁıes de Moagem e Trabalhadores Similares                          |
|     34750031      | Tatiana Al°rio Infante Prado             | Ansi„o                         | Operador de M·quina de Moldar ñ MatÈrias Pl·sticas                                     |
|     18134936      | Leoc†dia Heitor Borja                    | Portim„o                       | Outros Avaliadores e Leiloeiros                                                        |
|     62588139      | Lilian Caires                            | Marinha Grande                 | Outros Montadores de Cabos                                                             |
|     85050088      | Luana Brito                              | Miranda Do Douro               | Seleccionador de Peles                                                                 |
|     10147484      | Vicente Lis Henriques                    | Ribeira De Pena                | Trabalhador de Terra ou Cais (Carregador, Descarregador)                               |
|     81477558      | Milene Prada                             | Ponte De Sor                   | Carregadores e Descarregadores de Mercadorias                                          |
|     41369724      | Inàs J·come                              | Oleiros                        | Empregado de ServiÁos de ExpediÁ„o e RecepÁ„o de Mercadorias                           |
|     59001479      | Dulce Dana Paulos ColaÁo                 | Resende                        | Operador de M·quinas do Fabrico de Molas ñ Estofos e Colchıes                          |
|     53388538      | C°cero Moura                             | ¡gueda                         | Condutor de Comboio ñ Caminhos de Ferro                                                |
|     89403907      | Ricarda Miguel Novais Prado              | MÍda                           | Outros Dietistas                                                                       |
|     15316089      | Alda Valverde Gaspar                     | MelgaÁo                        | Engenheiro TÈcnico Agr·rio ñ ProduÁ„o AgrÌcola                                         |
|     50139977      | Sandro Jonata Mafra                      | Madalena                       | Director e Gerente ñ ComÈrcio Retalhista                                               |
|     69767633      | Natalina Obede Linares                   | Vinhais                        | Operador de Encoladeira ñ Cart„o Micro-Canelado                                        |
|     75340022      | Tiago Trist„o Marinho                    | Lous„                          | Vendedores e Demonstradores                                                            |
|     50098646      | Ema Valverde Gago                        | Ribeira Brava                  | Empregados Administrativos de Contabilidade e Trabalhadores Similares                  |
|     65366661      | Bernarda Ramos Vasconcelos               | Estremoz                       | Operador de M·quina Autom·tica de Fabrico de Ampolas ñ Vidro                           |
|     15664298      | Em°lio FeijÛ Martinho                    | Trofa                          | Revistador de Cones de Feltro                                                          |
|     95146359      | Alexander Menna Doutis                   | Vizela                         | Assistente Dent·rio                                                                    |
|     27015885      | Sid¢nio Donato Alancastro                | Seia                           | Operador de InstalaÁ„o de Fabrico ñ RaÁıes para Animais                                |
|     55410886      | Vilma Alba Barroso                       | BraganÁa                       | Outros Atletas, Desportistas e Trabalhadores Similares                                 |
|     40642149      | Josaf† Ferdinanda Castelo Branco         | PedrÛg„o Grande                | Arquitectos, Engenheiros e Especialistas Similares                                     |
|     55483743      | Bas°lio Vilas Boas Sobreira              | Coruche                        | Operador de Concentrados ñ RaÁıes para Animais                                         |
|     39559835      | D†lia Reino                              | Moita                          | Prensador (Operador de Prensa Autom·tica) ñ Aglomerados de Cimento                     |
|     51780161      | Iara Aires                               | Vila Do Conde                  | Condutores de VeÌculos Ligeiros                                                        |
|     51797598      | Rodolfo Priscilo Benevides Estrada       | Vila Real                      | Gravador com Roda ñ Vidro                                                              |
|     22599699      | Walter Fi„es Quint„o                     | Vouzela                        | Operador de Central Telex ñ Rede Internacional                                         |
|     54614590      | DÇlia Magda Caldas                       | Santa Cruz Das Flores          | Operador de Misturador ñ Gusa                                                          |
|     77923243      | Marieta Brites Palos                     | Madalena                       | Montador de Chapas ñ Fibrocimento                                                      |
|     39613018      | Eunice Il°dio Cunha                      | Castelo De Vide                | Pintor por Imers„o ñ Cer‚mica                                                          |
|     92984812      | L°via Melissa Pestana  Matos             | MaÁ„o                          | Operador de M·quinas do Fabrico de Molas ñ VeÌculos AutomÛveis                         |
|     22615217      | Jonata Mauro Hil·rio Cabral              | Castelo Branco                 | Agente Publicit·rio                                                                    |
|     47659586      | Heitor Malheiros                         | Arganil                        | Outros TÈcnicos de Engenharia Civil                                                    |
|     29041384      | Alexandre Alexandrina VillaÁa Carmona    | LoulÈ                          | Operador de M·quina de FragmentaÁ„o ñ Madeira e CortiÁa                                |
|     48155677      | Perceu Maximiliano Xavier Lameirinhas    | Arcos De Valdevez              | MÈdico Estomatologista                                                                 |
|     73982281      | Capitolina Olavo Quintela                | Fronteira                      | Lixador Mec‚nico ñ Peles                                                               |
|     25003107      | Lic°nio Sarmento Garcia                  | Mealhada                       | TÈcnicos das CiÍncias da Vida                                                          |
|     34641819      | Geralda Salt„o                           | Bombarral                      | Operador de M·quina de Colar Peles ñ Malas e Marroquinaria                             |
|     56988790      | NatÇrcia Paz                             | Sabugal                        | Outros Inspectores de EducaÁ„o                                                         |
|     40810301      | Celso Belchior Vilhena                   | Horta                          | Regente de Coro                                                                        |
|     36183324      | Altina Rebimbas Mont'Alverne             | Vila Do Bispo                  | Director de Fotografia ñ Cinema                                                        |
|     82213603      | Flìr Mayor                               | Peniche                        | Jogador Profissional de Futebol                                                        |
|     16735029      | Carmo Anast†cio Br·s Almeida             | Chamusca                       | TÈcnico de Relojoaria                                                                  |
|     47191333      | S°lvia Adelinda Antas                    | Vila Nova Da Barquinha         | Penteador                                                                              |
|     28444211      | Ros†rio Rodrigues                        | Penafiel                       | Outros Codificadores, Revisores de Provas e Similares                                  |
|     99910014      | Cassilda Soeiro                          | Ferreira Do ZÍzere             | Outros Montadores de Aparelhagem ElÈctrica e ElectrÛnica                               |
|     68765556      | Rosa Gustavo Cunha Freixo                | Lisboa                         | Vendedores Ambulantes de Produtos ComestÌveis                                          |
|     30415526      | Sabrina Quintela Vides                   | Vila Do Porto                  | Outros Vendedores de Quiosque e de Mercados                                            |
|     84352867      | Delfim Leopoldina Galv„o                 | BraganÁa                       | Operadores de M·quinas para ConfecÁ„o                                                  |
|     32068430      | üscar Anabela Santiago Chousa            | Aljezur                        | Calceteiro                                                                             |
|     91056458      | Elsa Dalva Paix„o                        | Alcochete                      | Operador de M·quinas para Trabalhar Madeira (Mec‚nico de Madeiras)                     |
|     74453922      | Elton Tarc°sio Belchior Onofre           | Borba                          | Encarregado ñ Trabalhadores da PreparaÁ„o de MinÈrios                                  |
|     87429955      | Leoc†dio Fagundes                        | Pampilhosa Da Serra            | Operador de M·quina de Revestimento ñ Artigos de CortiÁa                               |
|     91746357      | Benvinda Clemente Pic„o                  | Const‚ncia                     | Gazeador                                                                               |
|     70487575      | Bebiana Belchior                         | Amarante                       | Operador de Telecinema                                                                 |
|     96573038      | Roberto Lourenáo Cidreira J˙dice         | Figueira Da Foz                | Outros Canalizadores                                                                   |
|     96514774      | Ac†cio Negreiros Valverde                | Albergaria-A-Velha             | Comandante de Navio                                                                    |
|     28038952      | Cleide Tatiana Bessa Bernardes           | Coruche                        | Calafate                                                                               |
|     77302431      | Sandro AdÇlia Lamego Gomide              | Torres Novas                   | Vigilante de Piscina                                                                   |
|     62553422      | Humberto Rufino                          | Vagos                          | Educador de Inf‚ncia                                                                   |
|     78207936      | Querubim Toscano                         | Tondela                        | Encarregado ñ Produtos FarmacÍuticos e CosmÈticos                                      |
|     84505907      | Matilde Trigueiro FÈlix                  | Caminha                        | Gravador                                                                               |
|     78024144      | Aquiles Calvino Anjos                    | Sabugal                        | Engenheiro QuÌmico                                                                     |
|     14901360      | Vasco Mariana Temes                      | Almada                         | Manobrador de Carro Pesador                                                            |
|     79272963      | Benedita Bas°lio Lucas                   | MÈrtola                        | Solicitador                                                                            |
|     34632318      | Liana Negr„o                             | Vila Do Bispo                  | Operadores de InstalaÁıes de RefinaÁ„o e Armazenamento de PetrÛleo e G·s               |
|     91776945      | M¢nica Onofre                            | Vale De Cambra                 | Trabalhadores de Artigos de Pirotecnia                                                 |
|     36957553      | Anderson Clotilde Aquino Barbosa         | Vieira Do Minho                | Despachante Oficial                                                                    |
|     98475700      | Josefa Moutinho Torquato                 | Aguiar Da Beira                | Canteiros e Polidores de Pedra                                                         |
|     85079919      | Maur°cia Modesto                         | Seia                           | Outros Quadros Superiores da AdministraÁ„o P˙blica                                     |
|     80468966      | Adolfo Lessa                             | Ponte De Sor                   | Director de Restaurante                                                                |
|     81076601      | Berenice Covelh„                         | Santo Tirso                    | Outros Guardas dos ServiÁos Prisionais                                                 |
|     23811686      | QuitÇria Leticia Botelho Salgueiro       | Salvaterra De Magos            | Operador de Vaporizador (Enformador) de Abas                                           |
|     85671400      | Ces†ria Maura Souto Maior Trindade       | Reguengos De Monsaraz          | Assistentes Dent·rios e Trabalhadores Similares                                        |
|     66652074      | Fl†vio Capucho Villaverde                | Mangualde                      | TÈcnico de PrÛteses Dent·rias                                                          |
|     17744345      | Constantino Celina Dur„o                 | PedrÛg„o Grande                | Talhador (Cortador) de Peles                                                           |
|     54922890      | Evangelina Bensa˙de Valadares            | Seia                           | Operador de ClarificaÁ„o e Arrefecimento do Mosto ñ Cerveja                            |
|     63850261      | Adosinda Terra                           | Porto Santo                    | Operador de M·quina de Empacotar                                                       |
|     36129999      | Evandro Maur°cia Casqueira Horta         | Torre De Moncorvo              | Operador de Amplicopiadora                                                             |
|     22784098      | Pascoal Saldanha                         | Aljezur                        | Carvoeiro                                                                              |
|     94708030      | Walter Juliano Marroquim Banha           | Lajes Das Flores               | Operadores de Maquinaria AgrÌcola MÛvel e de Outras M·quinas MÛveis                    |
|     98102254      | Maria Lisboa J·come                      | Sintra                         | Cilindrista (Operador de Moinhos) ñ Borracha                                           |
|     94337110      | Arnaldo Adelinda Mesquita                | Gr‚ndola                       | Outros Trabalhadores do Fabrico de Produtos L·cteos                                    |
|     12394320      | Celso BaÌa Simas                         | PÛvoa De Varzim                | Encarregado ñ Trabalhadores da PreparaÁ„o de MinÈrios                                  |
|     16735222      | Jocosa Sosa                              | Coimbra                        | Operador do Acabamento de Lixas                                                        |
|     80583973      | Caetano Salema ¡lvaro                    | Bai„o                          | Operador de M·quina de Pintura ñ CalÁado                                               |
|     80296822      | Misael Br†ulio Roriz Valcanaia           | Paredes De Coura               | Trefilador ‡ M·quina                                                                   |
|     95539469      | Rìmulo D¢ris Mainha Andrade              | Matosinhos                     | Encarregado ñ Trefilagem                                                               |
|     94438774      | David Alcione Andrade                    | S„o Roque Do Pico              | TÈcnicos de Farm·cia                                                                   |
|     73995303      | Ivone Faro                               | Penafiel                       | Engraxadores e Trabalhadores Similares                                                 |
|     82548921      | Filomena FeijÛ Roriz                     | Santa Cruz Da Graciosa         | Especialistas do Trabalho Social                                                       |
|     23599374      | HÇlio VilariÁa Bencatel                  | ”bidos                         | Trabalhador Auxiliar ñ Minas                                                           |
|     99249133      | VenÉncio Doutel                          | Paredes                        | Operador de ProduÁ„o TÈrmica                                                           |
|     41872526      | Eust†cia Maura Narvais Domingues         | Cascais                        | Cozedor ñ AÁ˙car                                                                       |
|     26001252      | DamiÑo Batista Souto Banha               | Alvai·zere                     | TÈcnico Sanit·rio                                                                      |
|     36123734      | Florbela Naves Trigueiro                 | Monforte                       | Gazeador                                                                               |
|     67225375      | Vit¢ria Luciano Jorge Santiago           | Alvito                         | Operador de Filtro Rotativo ñ AÁ˙car                                                   |
|     47649676      | C†ssio Vanda Dur„o Ruela                 | Valongo                        | Calandrador ñ Papel                                                                    |
|     27592238      | Nadina Marisa Soeiro Rebocho             | PÛvoa De Varzim                | Inspectores e TÈcnicos das Alf‚ndegas e Fronteiras                                     |
|     62900416      | Silvino Rivas                            | S„o Jo„o Da Pesqueira          | MÈdico Pediatra                                                                        |
|     35344021      | Fl†via Abreu Portela                     | Paredes De Coura               | M˙sicos, Cantores e Bailarinos de Espect·culos de Variedades e Artistas Similares      |
|     67487893      | Sabrina Vieira                           | Alvito                         | Maquinistas de Locomotivas e Trabalhadores Similares                                   |
|     57873169      | Filomena Iracema Macieira                | Olh„o                          | Montadores de ConstruÁıes Mec‚nicas                                                    |
|     37381374      | AurÇlia Ramalho Cerveira                 | Torre De Moncorvo              | Operador de M·quina de Revestimento ñ Artigos de CortiÁa                               |
|     93653864      | Vanusa Alma Peres                        | Fafe                           | Operador de M·quina de Granular CafÈ                                                   |
|     33939019      | Alberta Marcelo Sabrosa SantarÈm         | Corvo                          | Superintendente                                                                        |
|     90408910      | M†ximo Marreiro                          | Esposende                      | Director de Som ñ Cinema                                                               |
|     84574744      | Gildo Borges                             | Cadaval                        | MÈdico Neurologista                                                                    |
|     58590708      | ñrsula Soares                            | Vila Nova De Cerveira          | Filigraneiro (Filigranista)                                                            |
|     18317646      | Glaucia Pena                             | Camara De Lobos                | Ascensorista                                                                           |
|     16919607      | Vanessa Fabiana Toledo                   | Mafra                          | TÈcnico de ManutenÁ„o                                                                  |
|     29474619      | Leoc†dio Lancelote Torquato Almeida      | Portim„o                       | Canalizador                                                                            |
|     48865305      | Ol°via Reis                              | MonÁ„o                         | Directores Gerais                                                                      |
|     50672724      | Priscila Frade Olivares                  | Paredes De Coura               | Operador de M·quina de Cortar PÍlo ñ Veludo "CotelÈ"                                   |
|     29536958      | Neli Francisca CÈsar                     | PovoaÁ„o                       | Outros Operadores de M·quinas de Tratamento de Produtos TÍxteis                        |
|     47143428      | Wagner Regina Varanda                    | Odemira                        | Trabalhador de Pedreiras                                                               |
|     70399645      | In†cio Carla MelgaÁo Linares             | Estremoz                       | Outros Montadores e Reparadores de Linhas ElÈctricas                                   |
|     43717222      | Aida Bianca Negreiros MendonÁa           | Condeixa-A-Nova                | Encarregado ñ Tratamento de Frutas e Legumes                                           |
|     84320808      | Norberto Vargas Ponte                    | Olh„o                          | Outros Escritores, Jornalistas e Similares                                             |
|     62628736      | Esdras Serafim Bernardes Quintella       | Montemor-O-Velho               | Operadores de M·quinas a Vapor e Caldeiras                                             |
|     14062460      | Emanuela Linda Temes RodrÌguez           | Chaves                         | Pescador ñ Pesca do Largo                                                              |
|     40591374      | Silva Mieiro                             | S„o Pedro Do Sul               | Outros Carvoeiros e Trabalhadores Similares                                            |
|     16280986      | Armanda Anlicoara ColaÁo                 | Vila Nova De Famalic„o         | Outros Engenheiros QuÌmicos e Engenheiros TÈcnicos QuÌmicos                            |
|     19151582      | Oleg†rio Jonathan Bastos                 | Alcoutim                       | Outros Floricultores, Horticultores e Viveristas                                       |
|     24349026      | Dana Nuno Fraga Fortunato                | Fund„o                         | Marnoto, Marnoteiro                                                                    |
|     50297964      | Perceu Apol¢nia Telinhos Botelho         | Caminha                        | Outros Empregados da Banca de Casinos e Similares                                      |
|     21629724      | Br°gida Teixeira                         | Seixal                         | Engenheiro TÈcnico Agr·rio ñ Engenharia AgrÌcola                                       |
|     70818996      | Filipe Hilton Outeiro                    | Entroncamento                  | Envernizador ñ Artes Gr·ficas                                                          |
|     80651955      | Roberta Vergueiro Valle                  | Castro Daire                   | Trabalhadores da Pesca ñ Pesca do Largo                                                |
|     52376657      | Valdir Quintal                           | Santana                        | Inspector                                                                              |
|     86057935      | Valentim Linares Farinha                 | Gavi„o                         | BioquÌmico                                                                             |
|     89957950      | Marisol F†bio Novais                     | Vila Real                      | Trabalhadores N„o Qualificados dos ServiÁos e ComÈrcio                                 |
|     73661969      | Alberta Nilson Gil Gusm„o                | Sabrosa                        | Moleiro ñ Moinho de Vento ou ¡gua                                                      |
|     26121198      | Maura Vidigal Pegado                     | Mira                           | Operadores de M·quinas de Tratamento de Frutas e Legumes                               |
|     79376656      | Adolfo Camilo Sosa                       | Covilh„                        | Caldeireiro da Prata (Oficial de Martelo)                                              |
|     29680963      | Veloso Clodoaldo Viegas                  | Oliveira De Frades             | Canalizador                                                                            |
|     69516843      | Oleg†rio Vit¢ria Belmonte Lucena         | Loures                         | SerÌgrafo                                                                              |
|     12805026      | Antonieta Tib£rcio Medina                | Gondomar                       | Teclista-Monotipista                                                                   |
|     39711383      | Lita Maur°cio Lustosa J˙dice             | FigueirÛ Dos Vinhos            | Operador de Secador ñ Aglomerados de Madeira                                           |
|     58106751      | Luciano Tabosa Carrilho                  | Vila Nova De Paiva             | Outros Compradores                                                                     |
|     21868895      | Ernane Ac†cio Furtado Neiva              | Guimar„es                      | Operador de Sala de Fabrico de Mosto ñ Cerveja                                         |
|     46501313      | Walter Villena Moutinho                  | Miranda Do Douro               | Bobinador ñ Ind˙stria TÍxtil                                                           |
|     74377749      | Anast†cia Alcaide Cabreira               | Lamego                         | Pulverizador (Ligador) de Fibras                                                       |
|     17314344      | Urbino Mavilde Lobo Maior                | Castelo Branco                 | Outros Meteorologistas                                                                 |
|     63896575      | Omar Dorneles Sabala                     | Peso Da RÈgua                  | Directores e Gerentes da ProduÁ„o Industrial                                           |
|     85779491      | Etelvina Fartaria Coelho                 | Oliveira De Frades             | Engenheiro de Minas                                                                    |
|     97447806      | Guilherme Ieda Sacramento Vilas Boas     | Vizela                         | Filigraneiro (Filigranista)                                                            |
|     31277195      | Bianca An°bal Arag„o Dam·sio             | Cantanhede                     | Empregados Administrativos dos ServiÁos Financeiros e Trabalhadores Similares          |
|     63642501      | Irina Varela                             | Santiago Do CacÈm              | Encarregado ñ Fabrico de Produtos L·cteos                                              |
|     43726279      | Helena Norberto Talh„o Dam·sio           | Paredes                        | Operadores de M·quinas do Fabrico de Artigos em Madeira e CortiÁa                      |
|     29911152      | Hon¢ria PÛvoas Aguiar                    | Cascais                        | Fiscal de ExploraÁ„o ñ Metropolitano                                                   |
|     97020662      | Francisca Baltasar Canela                | Camara De Lobos                | Acabador ñ Madeiras                                                                    |
|     14070216      | Jocosa Geralda Albernaz Palha            | Coruche                        | Fiandeiro                                                                              |
|     17688686      | Ari Alc‚ntara                            | AlpiarÁa                       | Operador de M·quinas de Vincar Arame                                                   |
|     47613791      | Gil Quinzeiro Camargo                    | Vila De Rei                    | ”ptico-Optometrista                                                                    |
|     61376868      | Ol°vio Edgar FÈlix Cavaco                | Alcoutim                       | Encarregado ñ Pintores e Decoradores de Vidro, Cer‚mica e Similares                    |
|     94591405      | Violante Ramallo                         | Monforte                       | MÈdico ñ Sa˙de P˙blica                                                                 |
|     43898374      | Marina Fialho Montenegro                 | Moura                          | Outros Atletas, Desportistas e Trabalhadores Similares                                 |
|     33002837      | Lourenáo Rodrigues J˙dice                | Seixal                         | Operador de Supermercado                                                               |
|     56762810      | Altair Pegado                            | Vila Nova De Cerveira          | Operador de M·quina de Cortar PÍlo ñ Veludo "CotelÈ"                                   |
|     58777642      | Bonif†cio Perdig„o Ponte                 | Const‚ncia                     | Montadores e Reparadores de InstalaÁıes TelefÛnicas e Telegr·ficas                     |
|     91109267      | Constanáa Franklin Abelho Braga          | Estarreja                      | Despenseiro ñ Ind˙stria Hoteleira                                                      |
|     49970420      | FÇlix Telinhos                           | Fafe                           | Outros Montadores de ConstruÁıes Mec‚nicas                                             |
|     18950537      | Am†vel Helga GÛis                        | AlcobaÁa                       | Reparadores de Aparelhos Receptores de R·dio e TV                                      |
|     21521567      | Bruno Ximenes                            | Vimioso                        | Operador de M·quina de Facear                                                          |
|     13828385      | Berenice Lemes Valad„o                   | Ponta Do Sol                   | Outros Agricultores ñ ProduÁ„o de Cereais e Vegetais                                   |
|     18911491      | Iolanda PicanÁo                          | S„o Jo„o Da Pesqueira          | Outros Trabalhadores do Tratamento e PreparaÁ„o de Madeiras e CortiÁa                  |
|     76238178      | Orlando Djalma RemÌgio                   | Amadora                        | Tosquiador                                                                             |
|     86161870      | Ant¢nia Baldaia                          | MÍda                           | Jornalista (RepÛrter fotogr·fico)                                                      |
|     30684766      | Nilton Apol¢nia Milheir„o                | Gr‚ndola                       | Outros TÈcnicos de ìRobotsî Industriais                                                |
|     92898435      | Luca NazarÇ Carromeu                     | Vouzela                        | Cartonageiros e Operadores de M·quinas de Cartonagem                                   |
|     39724308      | Juliano AdÇrito Uchoa                    | Penela                         | Servente ñ ConstruÁ„o Civil e Obras P˙blicas                                           |
|     44957797      | Andreia AmÇrico Neves                    | Almeirim                       | CoreÛgrafo                                                                             |
|     48956731      | Vanderley Pallos                         | Murtosa                        | Operador de M·quina de Fabricar Alcatifas                                              |
|     66102995      | Kelvin Barateiro                         | Amarante                       | Operador de M·quina de Betumar ñ Aglomerados de Cimento                                |
|     58247159      | Belarmino Edmundo Diniz Moita            | Estremoz                       | Resineiro (Resinador)                                                                  |
|     67340865      | Djamila Waldemar Marino                  | ValpaÁos                       | Assistente Dent·rio                                                                    |
|     31960743      | Pamela BeÁa                              | Abrantes                       | Optometristas e ”pticos                                                                |
|     92077855      | Antonieta Veloso MendonÁa                | Maia                           | Oficial Piloto                                                                         |
|     35897742      | Lia Fortunato                            | Cadaval                        | Operador de Robot Industrial                                                           |
|     88808539      | Virg°nia Neiva Cantanhede                | GÛis                           | Operador de InstalaÁ„o de Betonagem                                                    |
|     30479168      | Judith Neiva Baldaia                     | Santa Cruz Da Graciosa         | Operador de Corte e Desbandagem ñ Vidro                                                |
|     11886258      | Br°gido Saloio ThomÈ                     | Felgueiras                     | TraÁador                                                                               |
|     90736888      | NÇlia Paredes                            | Sardoal                        | Especialistas das CiÍncias Sociais e Humanas                                           |
|     57870216      | AdÑo Ribas Casalinho                     | Calheta                        | Operador de Central Telex ñ Rede Internacional                                         |
|     37396596      | Marlene Pena Cedro                       | Torres Novas                   | Montador de "PrÈ-EsforÁados"ñ Bet„o                                                    |
|     91011241      | SebastiÑo Guerra                         | Montalegre                     | Operador de M·quina de Cochar Corda                                                    |
|     21363236      | Antonieta Alcaide                        | Castro Verde                   | Controlador de Qualidade ñ Explosivos                                                  |
|     42775275      | Nancy CordÇlia LeÁa                      | Torres Novas                   | Operador de InstalaÁ„o Autom·tica de Pintar e Espelhar ñ Vidro e Cer‚mica              |
|     91993179      | Osvaldo Jeremias Carvalhoso Severo       | Estremoz                       | Outros Pintores e Decoradores de Vidro, Cer‚mica e Similares                           |
|     69946680      | Sabina Sacadura                          | Vila Franca De Xira            | Director de Compras                                                                    |
